StationId,StationName,AdminRegion,Depth,CHLa23,CHLa24,TN23,TN24,TP23,TP24,CHLaLTM,TPLTM,slope_CHLa,MAD_CHLa,pval_CHLa,slope_TN,MAD_TN,pval_TN,slope_TP,MAD_TP,pval_TP
1ALOH007.93,CURTIS LAKE - 100' FROM DAM,NA,0.3,11.646,NA,0.866,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1BCNG003.13,NA,VRO,0.3,NA,8.66,NA,0.674,NA,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-APP020.23,LAKE CHESDIN STA #1 - NEAR DAM CHESTERFI,NA,0.3,14.048,NA,0.566,NA,0.032,NA,14.38,0.03056,NA,NA,NA,NA,NA,NA,3.637566137566137e-4,6.177499999999999e-4,0.05758411507287584
2-BVR002.19,Above Dam - Beaver Creek Reservoir,VRO,0.3,3.738,4.146,0.41,NA,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-CHK025.15,"Chickahominy Reservoir, Station 1",NA,0.3,27.1,NA,0.84,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-LCN000.20,NA,TRO,0.3,NA,38.46,NA,NA,NA,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-LMD000.02,NA,TRO,0.3,NA,36.6,NA,NA,NA,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-LMD001.41,NA,TRO,0.3,NA,37.34,NA,NA,NA,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-MBN000.96,NA,PRO,0.3,NA,14.896,NA,0.588,NA,0.026,12.1905,0.02553333333333333,0.0981818181818182,0.1931815422077922,0.06636912925875019,0.00180555555555554,0.007413,0.3586391704612435,6.802721088435364e-5,3.1097619047619067e-4,0.1500556952976945
2-MIN000.98,Mill Cr Reservoir- Main Lake site @ dam,NA,0.3,25.8,NA,0.906,NA,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-NWB002.93,NA,TRO,0.3,NA,22.3,NA,NA,NA,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-NWB004.67,NA,TRO,0.3,NA,23.84,NA,NA,NA,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-NWB006.06,NA,TRO,0.3,NA,19.7,NA,NA,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-SDY004.27,NA,PRO,0.3,NA,15.32,NA,0.586,NA,0.022,12.270083333333334,0.025883333333333335,0.19045454545454543,0.10283161538461535,0.16015625,0.0021358024691358,0.00349143148148146,0.9187600955117996,2.5252525252525415e-5,3.4319444444444436e-4,0.20489389381637857
2-SDY005.85,NA,PRO,0.3,NA,21.51,NA,0.634,NA,0.03,13.71795,0.02705,0.3579494949494949,0.2510124166666666,0.02483850170488328,-0.00333333333333335,0.0137964166666667,0.3586391704612435,0,2.274134615384616e-4,0.3621375748479859
2-SHS001.00,STONEHOUSE CREEK RESERVOIR-STA 100 FT FR,SCRO,0.3,39.2,19.682,1.03,0.793,0.05,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-SPE000.17,NA,TRO,0.3,NA,40.2,NA,NA,NA,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
